longitude,latitude,type,
116605080,40161132,1,
116409722,39995482,0,
116594097,39913718,3,
116132187,39723723,3,
116491442,39954858,4,
116246788,39835878,1,
116266890,39955130,0,
115976312,39664752,2,
116362712,39801662,3,
116130002,39949623,4,
116216237,39906892,0,
116084718,39731863,0,
116595157,39913823,1,
116433748,39670397,4,
116296590,39890613,1,
116275900,39943302,3,
115737498,39580272,0,
116104937,39662890,0,
116241735,39848805,1,
116214875,40263648,1,
116108828,39659678,0,
116335602,39897102,3,
116461402,39824847,3,
116556107,40322192,0,
116254903,39848667,3,
116736028,40257497,4,
116583378,39928777,4,
116268690,40018100,0,
116427597,39819297,2,
116283563,39779775,1,
116091613,39902565,1,
116644902,40171093,4,
116604467,39708243,3,
116462407,40191628,0,
116774022,40228198,3,
116196955,39900253,4,
116568855,40359467,2,
116202168,39763930,4,
116486395,40037835,3,
116224022,39898052,4,
116692725,39866185,2,
116306765,39523077,0,
116229102,39851867,1,
116093442,39902903,2,
116645487,39804615,1,
116276447,40050022,0,
116214733,39876167,1,
116142792,39746475,0,
116235142,39860820,3,
116286298,39888267,1,
116227517,39901137,1,
116197657,39817173,0,
116637545,40026198,0,
116357438,39887965,2,
116431925,39565943,4,
116273927,39860522,0,
115979042,39642273,3,
116361817,39976940,2,
116167120,40025198,0,
116208510,39704923,2,
117092840,40178690,1,
116361878,39746047,1,
116512487,39855620,0,
116104933,39783660,3,
115950213,39601828,0,
116580575,40103848,1,
116537967,39758228,0,
116086863,39998248,3,
116232627,39917252,4,
116495995,39610337,3,
116196342,39741993,1,
116339418,39897992,1,
116647943,40139523,3,
116347552,39897017,4,
116389817,39932013,4,
116614807,40052028,4,
116255728,40139397,4,
116340040,39832958,0,
116581525,40048025,4,
116232627,39917252,1,
116310733,39856687,3,
116270290,39968605,4,
116243127,39849140,0,
116389093,39932128,4,
116410982,39803785,1,
116405290,39905833,1,
116443117,39764403,1,
116365903,39858932,4,
116437868,39803957,4,
116405268,39906305,4,
116115568,39723060,4,
116452418,40152985,0,
116277910,39906283,0,
116695213,40126175,3,
116424520,39938667,0,
116296637,39856678,3,
116303725,39895833,2,
116357425,39888110,0,
116258185,40036983,4,
116059305,39622560,4,
116059305,39622560,1,
116204865,39837208,3,
116437868,39803957,1,
116418902,39866590,1,
116580445,40103547,1,
116258482,39887910,0,
116358695,39921485,4,
116405305,39906412,0,
116457458,40081660,0,
116258322,39850338,4,
116129532,39742457,1,
116697865,39852872,0,
116409887,39844497,2,
116253302,39926900,2,
116561463,40105505,0,
116277910,39906283,3,
116699492,39982558,2,
116345367,39896913,0,
116299135,39968800,0,
116293600,39875225,0,
116318683,40048928,3,
116344972,39904370,2,
116750247,40033058,3,
115975328,39682252,2,
116614807,40052028,4,
116359850,39951812,4,
116255728,40139397,2,
116268702,39955495,0,
116182453,39836302,4,
116059305,39622560,2,
116249612,39872403,3,
116365592,39858233,0,
116339985,39834482,1,
116324955,39888507,2,
116389948,39932028,4,
116549873,40099617,0,
116208995,39902587,4,
116232627,39917252,1,
116205320,39835203,1,
116258482,39887910,3,
116133555,39898070,4,
116243127,39849140,4,
116582522,40049173,2,
116312397,39854855,0,
116255483,39890382,0,
116074100,39945093,2,
116331250,40091830,1,
115938367,40485988,1,
116656367,40075735,1,
116580767,40077108,2,
116580767,40077110,1,
116558350,39960553,3,
116273917,39846172,1,
115963700,39758078,2,
115960183,40359717,3,
116344483,39726015,1,
115942317,39653638,4,
116057367,39760845,2,
116100750,39939477,3,
116324217,39736340,2,
116819567,40275915,3,
116143933,39616727,4,
116132283,39738000,4,
116195733,39611573,3,
116267733,39585275,3,
116071917,39696433,0,
117060783,40097008,4,
115903517,39613343,1,
116612350,39903852,0,
116064900,40160312,2,
116315333,39826255,1,
115929500,40472518,1,
116631183,39654448,1,
116649067,39693700,2,
116236917,39854942,1,
116225800,39929133,3,
116303350,39906242,3,
116614350,40290105,1,
115961900,39815880,3,
116436483,39839890,0,
116157017,39866548,0,
115985433,40442823,4,
115931217,39685083,1,
116271217,40130992,0,
116729483,39863237,0,
116101867,39692753,1,
115936467,39554677,1,
116254117,40135193,4,
116607217,40035688,4,
116403100,39888265,0,
116359317,39887373,1,
116250750,40129798,1,
116451750,39953690,2,
116089267,39934125,2,
116076083,39941557,0,
116295367,40091283,3,
116081433,39655268,2,
116259133,40218378,1,
116035817,39813285,4,
116649833,39623452,2,
116070783,39939497,4,
116736160,40386758,2,
116129842,39707777,1,
115878533,39560610,1,
116325533,40041503,0,
116206683,39700170,4,
116490800,39943647,2,
116211315,39901043,1,
116177707,40201933,4,
116177458,39792170,3,
116323650,39785763,0,
116006118,39712382,1,
116625655,39614452,2,
116306567,40059670,2,
116102262,39774583,2,
116363850,39969765,1,
116350183,39919382,3,
116420325,40022980,2,
116553998,39753908,3,
116467750,39925907,2,
116608867,40038168,3,
116560077,40206150,4,
116127867,39668253,2,
116510267,39944462,2,
116144180,39714372,1,
116327833,39972698,0,
116109803,39930718,2,
116579195,40287425,0,
116683795,39873643,2,
116726383,39763605,3,
116159583,40156063,2,
116268550,40027148,4,
116576933,39914150,1,
116145730,39750948,4,
